2025-09-01 21:32:18 | INFO | conftest | pytest logging configured
2025-09-01 21:32:18 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:32:18 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:32:18 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:32:18 | INFO | visions.backends | Python backend loaded
2025-09-01 21:35:30 | INFO | conftest | pytest logging configured
2025-09-01 21:35:31 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:35:31 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:35:31 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:35:31 | INFO | visions.backends | Python backend loaded
2025-09-01 21:53:08 | INFO | conftest | pytest logging configured
2025-09-01 21:53:08 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:53:08 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:53:08 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:53:08 | INFO | visions.backends | Python backend loaded
2025-09-01 21:53:38 | INFO | conftest | pytest logging configured
2025-09-01 21:53:38 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:53:38 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:53:38 | INFO | visions.backends | Pyspark backend NOT loaded
2025-09-01 21:53:38 | INFO | visions.backends | Python backend loaded
2025-09-01 21:53:48 | INFO | conftest | pytest logging configured
2025-09-01 21:53:48 | INFO | visions.backends | Pandas backend loaded 2.3.2
2025-09-01 21:53:48 | INFO | visions.backends | Numpy backend loaded 2.1.3
2025-09-01 21:53:48 | INFO | visions.backends | Pyspark backend NOT loaded
